x,y,attempt,log_attempt,made,missed
384,252,40,1.6020599913279623,16,24
396,252,53,1.724275869600789,20,33
408,252,55,1.7403626894942439,26,29
420,252,60,1.7781512503836436,22,38
432,252,57,1.7558748556724915,16,41
444,252,59,1.7708520116421442,21,38
456,252,54,1.7323937598229686,16,38
468,252,265,2.423245873936808,113,152
480,252,417,2.6201360549737576,173,244
492,252,227,2.3560258571931225,111,116
156,264,10,1.0,6,4
168,264,18,1.255272505103306,4,14
180,264,36,1.5563025007672873,10,26
192,264,79,1.8976270912904414,29,50
204,264,71,1.8512583487190752,27,44
288,264,15,1.1760912590556813,5,10
300,264,12,1.0791812460476249,6,6
312,264,22,1.3424226808222062,6,16
336,264,10,1.0,6,4
348,264,21,1.3222192947339193,6,15
360,264,41,1.6127838567197355,15,26
372,264,42,1.6232492903979006,20,22
384,264,34,1.5314789170422551,11,23
396,264,54,1.7323937598229686,22,32
408,264,68,1.8325089127062364,24,44
420,264,72,1.8573324964312685,26,46
432,264,72,1.8573324964312685,22,50
444,264,37,1.568201724066995,19,18
456,264,211,2.3242824552976926,90,121
468,264,801,2.9036325160842376,387,414
480,264,1262,3.1010593549081156,735,527
492,264,516,2.7126497016272113,327,189
504,264,11,1.0413926851582251,6,5
156,276,14,1.146128035678238,7,7
168,276,28,1.4471580313422192,13,15
180,276,46,1.662757831681574,14,32
192,276,94,1.9731278535996986,27,67
204,276,56,1.7481880270062005,16,40
276,276,14,1.146128035678238,5,9
288,276,15,1.1760912590556813,8,7
300,276,11,1.0413926851582251,4,7
312,276,16,1.2041199826559248,9,7
324,276,10,1.0,1,9
336,276,15,1.1760912590556813,7,8
348,276,21,1.3222192947339193,6,15
360,276,30,1.4771212547196624,11,19
372,276,51,1.7075701760979363,20,31
384,276,57,1.7558748556724915,22,35
396,276,55,1.7403626894942439,21,34
408,276,68,1.8325089127062364,18,50
420,276,63,1.7993405494535817,30,33
432,276,62,1.792391689498254,31,31
444,276,62,1.792391689498254,23,39
456,276,306,2.48572142648158,164,142
468,276,727,2.8615344108590377,451,276
480,276,993,2.996949248495381,663,330
492,276,436,2.639486489268586,309,127
504,276,13,1.1139433523068367,9,4
156,288,14,1.146128035678238,5,9
168,288,27,1.4313637641589874,12,15
180,288,51,1.7075701760979363,19,32
192,288,118,2.0718820073061255,41,77
204,288,71,1.8512583487190752,22,49
276,288,12,1.0791812460476249,3,9
288,288,11,1.0413926851582251,4,7
300,288,15,1.1760912590556813,4,11
312,288,20,1.3010299956639813,8,12
324,288,19,1.2787536009528289,4,15
336,288,11,1.0413926851582251,5,6
348,288,28,1.4471580313422192,13,15
360,288,51,1.7075701760979363,24,27
372,288,37,1.568201724066995,11,26
384,288,64,1.806179973983887,27,37
396,288,65,1.8129133566428555,27,38
408,288,64,1.806179973983887,26,38
420,288,81,1.9084850188786497,27,54
432,288,62,1.792391689498254,25,37
444,288,106,2.0253058652647704,47,59
456,288,308,2.4885507165004443,166,142
468,288,383,2.583198773968623,257,126
480,288,313,2.4955443375464483,247,66
492,288,203,2.307496037913213,159,44
144,300,12,1.0791812460476249,2,10
156,300,14,1.146128035678238,5,9
168,300,21,1.3222192947339193,11,10
180,300,55,1.7403626894942439,17,38
192,300,107,2.0293837776852097,36,71
204,300,91,1.9590413923210936,28,63
288,300,26,1.414973347970818,9,17
300,300,19,1.2787536009528289,10,9
312,300,29,1.462397997898956,13,16
324,300,20,1.3010299956639813,7,13
336,300,14787,4.169880072874387,10770,4017
348,300,57,1.7558748556724915,24,33
360,300,60,1.7781512503836436,27,33
372,300,94,1.9731278535996986,30,64
384,300,95,1.9777236052888478,32,63
396,300,145,2.161368002234975,63,82
408,300,154,2.187520720836463,63,91
420,300,182,2.2600713879850747,77,105
432,300,112,2.0492180226701815,59,53
444,300,197,2.294466226161593,117,80
456,300,398,2.5998830720736876,241,157
468,300,459,2.661812685537261,300,159
480,300,986,2.993876914941211,700,286
492,300,145,2.161368002234975,121,24
504,300,13,1.1139433523068367,11,2
156,312,16,1.2041199826559248,4,12
168,312,24,1.380211241711606,6,18
180,312,47,1.6720978579357175,15,32
192,312,95,1.9777236052888478,27,68
204,312,64,1.806179973983887,24,40
300,312,14,1.146128035678238,3,11
312,312,21,1.3222192947339193,10,11
324,312,15,1.1760912590556813,4,11
336,312,21,1.3222192947339193,13,8
348,312,19,1.2787536009528289,10,9
360,312,33,1.5185139398778875,14,19
372,312,49,1.6901960800285136,24,25
384,312,55,1.7403626894942439,24,31
396,312,75,1.8750612633917,32,43
408,312,62,1.792391689498254,28,34
420,312,69,1.8388490907372552,30,39
432,312,61,1.7853298350107671,32,29
444,312,74,1.8692317197309762,41,33
456,312,258,2.41161970596323,156,102
468,312,403,2.6053050461411096,260,143
480,312,293,2.4668676203541096,220,73
492,312,176,2.24551266781415,146,30
168,324,22,1.3424226808222062,8,14
180,324,40,1.6020599913279623,10,30
192,324,65,1.8129133566428555,27,38
204,324,53,1.724275869600789,20,33
288,324,14,1.146128035678238,5,9
300,324,14,1.146128035678238,7,7
312,324,17,1.2304489213782739,5,12
336,324,11,1.0413926851582251,8,3
348,324,26,1.414973347970818,13,13
360,324,29,1.462397997898956,14,15
372,324,43,1.6334684555795864,19,24
384,324,44,1.6434526764861874,20,24
396,324,58,1.7634279935629373,26,32
408,324,54,1.7323937598229686,20,34
420,324,67,1.8260748027008264,30,37
432,324,48,1.6812412373755872,25,23
444,324,55,1.7403626894942439,22,33
456,324,277,2.4424797690644486,124,153
468,324,710,2.8512583487190755,401,309
480,324,932,2.9694159123539814,627,305
492,324,488,2.6884198220027105,338,150
504,324,10,1.0,6,4
168,336,16,1.2041199826559248,5,11
180,336,30,1.4771212547196624,10,20
192,336,67,1.8260748027008264,28,39
204,336,49,1.6901960800285136,16,33
288,336,17,1.2304489213782739,6,11
300,336,25,1.3979400086720377,9,16
312,336,13,1.1139433523068367,8,5
324,336,11,1.0413926851582251,5,6
336,336,12,1.0791812460476249,7,5
348,336,17,1.2304489213782739,6,11
360,336,44,1.6434526764861874,19,25
372,336,55,1.7403626894942439,24,31
384,336,56,1.7481880270062005,28,28
396,336,61,1.7853298350107671,22,39
408,336,54,1.7323937598229686,19,35
420,336,72,1.8573324964312685,21,51
432,336,72,1.8573324964312685,24,48
444,336,38,1.5797835966168101,9,29
456,336,176,2.24551266781415,74,102
468,336,551,2.741151598851785,253,298
480,336,951,2.978180516937414,508,443
492,336,433,2.6364878963533656,243,190
168,348,12,1.0791812460476249,5,7
180,348,28,1.4471580313422192,10,18
192,348,60,1.7781512503836436,16,44
204,348,76,1.8808135922807914,22,54
216,348,10,1.0,3,7
276,348,12,1.0791812460476249,8,4
288,348,12,1.0791812460476249,5,7
300,348,11,1.0413926851582251,5,6
312,348,23,1.3617278360175928,9,14
336,348,17,1.2304489213782739,6,11
348,348,29,1.462397997898956,15,14
360,348,30,1.4771212547196624,11,19
372,348,35,1.5440680443502757,9,26
384,348,55,1.7403626894942439,26,29
396,348,42,1.6232492903979006,17,25
408,348,50,1.6989700043360187,18,32
420,348,54,1.7323937598229686,22,32
432,348,78,1.8920946026904804,29,49
444,348,64,1.806179973983887,35,29
456,348,52,1.7160033436347992,20,32
468,348,182,2.2600713879850747,70,112
480,348,351,2.545307116465824,151,200
492,348,170,2.230448921378274,78,92
168,360,13,1.1139433523068367,1,12
180,360,24,1.380211241711606,7,17
192,360,46,1.662757831681574,16,30
204,360,63,1.7993405494535817,21,42
216,360,21,1.3222192947339193,4,17
276,360,11,1.0413926851582251,3,8
288,360,10,1.0,2,8
300,360,18,1.255272505103306,7,11
312,360,19,1.2787536009528289,7,12
336,360,19,1.2787536009528289,10,9
348,360,23,1.3617278360175928,10,13
360,360,23,1.3617278360175928,16,7
372,360,28,1.4471580313422192,14,14
384,360,31,1.4913616938342726,14,17
396,360,31,1.4913616938342726,16,15
408,360,26,1.414973347970818,12,14
420,360,39,1.591064607026499,18,21
432,360,43,1.6334684555795864,10,33
444,360,45,1.6532125137753437,16,29
456,360,45,1.6532125137753437,14,31
468,360,33,1.5185139398778875,15,18
480,360,68,1.8325089127062364,23,45
492,360,46,1.662757831681574,17,29
180,372,12,1.0791812460476249,2,10
192,372,54,1.7323937598229686,13,41
204,372,70,1.845098040014257,23,47
